country;ubigeo;departamento;provincia;distrito;latitud;longitud
PERÚ;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;-6.2294;-77.8728
PERÚ;10102;AMAZONAS;CHACHAPOYAS;ASUNCION;-6.0325;-77.7108
PERÚ;10103;AMAZONAS;CHACHAPOYAS;BALSAS;-6.8358;-78.0197
PERÚ;10104;AMAZONAS;CHACHAPOYAS;CHETO;-6.2556;-77.7008
PERÚ;10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;-6.0783;-77.7375
PERÚ;10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;-6.935;-77.8542
PERÚ;10107;AMAZONAS;CHACHAPOYAS;GRANADA;-6.1064;-77.6286
PERÚ;10108;AMAZONAS;CHACHAPOYAS;HUANCAS;-6.1736;-77.8644
PERÚ;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;-6.4847;-77.815
PERÚ;10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;-6.7075;-77.8039
PERÚ;10111;AMAZONAS;CHACHAPOYAS;LEVANTO;-6.3078;-77.8992
PERÚ;10112;AMAZONAS;CHACHAPOYAS;MAGDALENA;-6.3731;-77.9017
PERÚ;10113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;-6.5944;-77.8086
PERÚ;10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;-6.2092;-77.6692
PERÚ;10115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;-6.6181;-77.8022
PERÚ;10116;AMAZONAS;CHACHAPOYAS;OLLEROS;-6.0239;-77.6764
PERÚ;10117;AMAZONAS;CHACHAPOYAS;QUINJALCA;-6.0914;-77.6786
PERÚ;10118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;-6.2292;-77.74
PERÚ;10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;-6.3372;-77.8806
PERÚ;10120;AMAZONAS;CHACHAPOYAS;SOLOCO;-6.2606;-77.7442
PERÚ;10121;AMAZONAS;CHACHAPOYAS;SONCHE;-6.2189;-77.7753
PERÚ;10201;AMAZONAS;BAGUA;BAGUA;-5.6389;-78.5311
PERÚ;10202;AMAZONAS;BAGUA;ARAMANGO;-5.4164;-78.4378
PERÚ;10203;AMAZONAS;BAGUA;COPALLIN;-5.675;-78.4231
PERÚ;10204;AMAZONAS;BAGUA;EL PARCO;-5.625;-78.4753
PERÚ;10205;AMAZONAS;BAGUA;IMAZA;-5.1636;-78.2889
PERÚ;10206;AMAZONAS;BAGUA;LA PECA;-5.6119;-78.4369
PERÚ;10301;AMAZONAS;BONGARA;JUMBILLA;-5.9044;-77.7978
PERÚ;10302;AMAZONAS;BONGARA;CHISQUILLA;-5.8975;-77.7861
PERÚ;10303;AMAZONAS;BONGARA;CHURUJA;-6.0194;-77.9519
PERÚ;10304;AMAZONAS;BONGARA;COROSHA;-5.8433;-77.8225
PERÚ;10305;AMAZONAS;BONGARA;CUISPES;-5.9283;-77.9461
PERÚ;10306;AMAZONAS;BONGARA;FLORIDA;-5.8261;-77.9694
PERÚ;10307;AMAZONAS;BONGARA;JAZAN;-5.9414;-77.9772
PERÚ;10308;AMAZONAS;BONGARA;RECTA;-5.9178;-77.7889
PERÚ;10309;AMAZONAS;BONGARA;SAN CARLOS;-5.9661;-77.9453
PERÚ;10310;AMAZONAS;BONGARA;SHIPASBAMBA;-5.9106;-77.9806
PERÚ;10311;AMAZONAS;BONGARA;VALERA;-6.0428;-77.9192
PERÚ;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;-5.7353;-77.925
PERÚ;10401;AMAZONAS;CONDORCANQUI;NIEVA;-4.5922;-77.8644
PERÚ;10402;AMAZONAS;CONDORCANQUI;EL CENEPA;-4.4556;-78.1589
PERÚ;10403;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;-4.0158;-77.7608
PERÚ;10501;AMAZONAS;LUYA;LAMUD;-6.1392;-77.9522
PERÚ;10502;AMAZONAS;LUYA;CAMPORREDONDO;-6.2133;-78.32
PERÚ;10503;AMAZONAS;LUYA;COCABAMBA;-6.6142;-78.005
PERÚ;10504;AMAZONAS;LUYA;COLCAMAR;-6.2994;-77.9731
PERÚ;10505;AMAZONAS;LUYA;CONILA;-6.1592;-78.1419
PERÚ;10506;AMAZONAS;LUYA;INGUILPATA;-6.2394;-77.9539
PERÚ;10507;AMAZONAS;LUYA;LONGUITA;-6.4136;-77.9683
PERÚ;10508;AMAZONAS;LUYA;LONYA CHICO;-6.2297;-77.955
PERÚ;10509;AMAZONAS;LUYA;LUYA;-6.1642;-77.9442
